symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredstock,proceedsFromIssuanceOfCommonStock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
DCT,2020-08-31,USD,17478000.0,0,0,0,0,5558000.0,1143000.0,0,0.0,0,-1143000.0,354348000.0,0,0,0,0,0.0,0.0,0,0,0,0,-264688000,0,0,0,-21610000.0
DDOG,2019-09-30,USD,3824000.0,0,0,0,0,3800000.0,4834000.0,0,0.0,-4161000,-7484000.0,710924000.0,0,0,0,0,0.0,0.0,0,0,0,0,715965000,0,0,0,-4161000.0
DFPH,2020-03-31,USD,-28750.0,0,0,0,0,0.0,0.0,0,0.0,0,-230000000.0,231511186.0,0,0,0,0,0.0,0.0,0,0,0,0,225911190,0,0,0,-45089.0
DNB,2020-06-30,USD,113900000.0,0,0,0,0,266900000.0,2500000.0,0,0.0,-173800000,-29400000.0,-48000000.0,0,0,0,0,-64100000.0,-64100000.0,0,0,0,0,0,0,0,0,-99900000.0
DNK,2019-12-31,CNY,-281927000.0,0,0,0,0,0.0,1962048000.0,0,0.0,0,-369263000.0,4945078000.0,0,0,0,0,0.0,0.0,0,0,0,0,1456944000,0,0,0,-919806000.0
DOYU,2019-06-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,22276000.0
DTIL,2019-03-31,USD,-19907000.0,0,0,0,0,939000.0,5082000.0,0,0.0,-31783000,-5082000.0,38295000.0,0,0,0,0,0.0,0.0,0,0,0,0,107000,0,13306000,0,-31783000.0
DUO,2019-09-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,80308000.0
EBC,2020-09-30,USD,12313000.0,0,0,0,0,6819000.0,1240000.0,0,0.0,0,-599924000.0,1483134000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,28505000.0
EBON,2020-06-30,USD,-2731166.0,0,0,0,0,0.0,0.0,0,0.0,0,-134607.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
EDTK,2020-06-30,USD,3292421.0,0,0,0,0,0.0,0.0,0,0.0,0,-7121175.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
EH,2019-12-31,CNY,14731000.0,0,0,0,0,1488000.0,2550000.0,0,-559000.0,0,8301000.0,252863000.0,0,0,0,0,0.0,0.0,0,0,0,0,300302000,0,0,0,-1933000.0
EIC,2019-06-30,USD,-7115540.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,17832930.0,0,0,0,0,-3045516.0,-3045516.0,0,0,0,0,16935450,0,0,0,6186780.0
ESSC,2020-03-31,USD,-364838.0,0,0,0,0,0.0,0.0,0,0.0,697557,-138000000.0,138819683.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,454845,0,697557.0
ETNB,2019-09-30,USD,-6197000.0,0,0,0,0,5000.0,8000.0,0,0.0,-18725000,-8000.0,488000.0,0,0,0,0,0.0,0.0,0,0,0,0,20011000,0,0,0,-18725000.0
EXPC,2019-09-30,USD,-1297.0,0,0,0,0,0.0,0.0,0,0.0,98139,-196428650.0,276820486.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,98139.0
FMTX,2020-06-30,USD,-23406000.0,0,0,0,0,284000.0,25000.0,0,0.0,0,-7234000.0,295258000.0,0,0,0,0,0.0,0.0,0,0,0,0,-20000,0,0,0,-25440000.0
FOUR,2020-06-30,USD,-3000000.0,0,0,0,0,18100000.0,2900000.0,0,400000.0,-75000000,-7100000.0,183900000.0,0,0,0,0,-400000.0,-400000.0,0,0,0,0,0,0,0,0,-74000000.0
FREQ,2019-09-30,USD,74580000.0,0,0,0,0,214000.0,155000.0,0,0.0,-575000,4638000.0,59387000.0,0,0,0,0,0.0,0.0,0,161000,0,0,62278000,0,0,0,-575000.0
FRLN,2020-06-30,USD,-15372000.0,0,0,0,0,0.0,0.0,0,0.0,0,-275500.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
FTHM,2020-06-30,USD,346464.0,0,0,0,0,44496.0,119951.0,0,0.0,0,-119951.0,419316.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,160798.0
FTIV,2020-09-30,USD,-31650.0,0,0,0,0,0.0,0.0,0,0.0,0,-230000000.0,231657632.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-19845.0
FUBO,2020-09-30,USD,-30136000.0,2051610,0,-4487000,12807000,16157000.0,33000.0,2863000,0.0,-274117000,-652000.0,62241000.0,14699000,0,0,0,0.0,0.0,0,68216000,-1696000,0,68540000,0,31453000,0,-274117000.0
FULC,2019-06-30,USD,-12074000.0,0,0,0,0,514000.0,221000.0,0,0.0,-13169000,-221000.0,-529000.0,0,0,0,0,0.0,0.0,0,220000,0,0,0,0,0,0,-13169000.0
FUSN,2020-06-30,USD,-6197000.0,0,0,0,0,98000.0,168000.0,0,0.0,0,-168000.0,257840000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-44733000.0
FUTU,2019-03-31,HKD,-781134000.0,0,0,0,0,0.0,0.0,0,0.0,0,28095000.0,1033300000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,45541000.0
FVRR,2019-06-30,USD,-3354000.0,0,0,0,0,910000.0,503000.0,0,0.0,0,-119894000.0,117731000.0,0,0,0,0,0.0,0.0,0,0,0,0,4881000,0,0,0,-9353000.0
