IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-10-27,MACU,Mallard Acquisition,10,9.89,-0.011
2020-10-27,LUXA,Lux Health Tech Acquisition,10,10.49,0.049
2020-10-23,ATAC,Altimar Acquisition,10,9.95,-0.005
2020-10-23,FHTX,Foghorn Therapeutics,16,12.12,-0.2425
2020-10-23,EUCR,Eucrates Biomedical Acquisition,10,10.09,0.009
2020-10-23,ACAC,Acies Acquisition,10,10.07,0.007
2020-10-22,MCFE,McAfee,20,23.93,0.1965
2020-10-22,TEKK,Tekkorp Digital Acquisition,10,10.08,0.008
2020-10-22,ABCM,Abcam PLC,17.5,21.24,0.2137
2020-10-22,GHLD,Guild Holdings Company,15,14.75,-0.0167
2020-10-22,YSAC,Yellowstone Acquisition,10,10.01,0.001
2020-10-22,RICE,Rice Acquisition,10,10.28,0.028
2020-10-22,CTAC,Cerberus Telecom Acquisition,10,9.99,-0.001
2020-10-22,BLSA,BCLS Acquisition,10,10.85,0.085
2020-10-21,HIGA,H.I.G. Acquisition,10,10.03,0.003
2020-10-21,SRSA,Sarissa Capital Acquisition,10,10.16,0.016
2020-10-21,MSP,Datto,27,26.72,-0.0104
2020-10-21,SPNV,Supernova Partners Acquisition,10,10.67,0.067
2020-10-21,XPOA,DPCM Capital,10,10.1,0.01
2020-10-21,YGMZ,MingZhu Logistics,4,5.77,0.4425
2020-10-21,LFTR,Lefteris Acquisition,10,10.08,0.008
2020-10-20,DCRB,Decarbonization Plus Acquisition,10,11.16,0.116
2020-10-20,GWAC,Good Works Acquisition,10,11.24,0.124
2020-10-20,HLXA,Helix Acquisition,10,10.51,0.051
2020-10-20,HZON,Horizon Acquisition II,10,10.84,0.084
2020-10-16,BTWN,Bridgetown Holdings,10,12.25,0.225
2020-10-16,EAR,Eargo,18,55.14,2.0633
2020-10-16,TARS,Tarsus Pharmaceuticals,16,32.82,1.0513
2020-10-16,KRBP,Kiromic BioPharma,12,10.07,-0.1608
2020-10-16,OPT,Opthea,13.5,10.13,-0.2496
2020-10-16,PRAX,Praxis Precision Medicines,19,42.51,1.2374
2020-10-16,TMPM,Turmeric Acquisition,10,9.97,-0.003
2020-10-16,ALGS,Aligos Therapeutics,15,25.33,0.6887
2020-10-15,TMTS,Spartacus Acquisition,10,9.91,-0.009
2020-10-15,EBC,Eastern Bankshares,10,19.34,0.934
2020-10-15,ARRY,Array Technologies,22,31.61,0.4368
2020-10-15,MNSO,Miniso Group,20,24,0.2
2020-10-15,MOTN,Motion Acquisition,10,9.92,-0.008
2020-10-14,FVAM,5:01 Acquisition,10,10.1,0.01
2020-10-14,CDAK, Codiak BioSciences,15,18.06,0.204
2020-10-09,IPOD,Social Capital Hedosophia IV,10,11.82,0.182
2020-10-09,IPOE,Social Capital Hedosophia V,10,19.15,0.915
2020-10-09,IPOF,Social Capital Hedosophia VI,10,11.63,0.163
2020-10-09,INTZ,Intrusion,8,25.7,2.2125
2020-10-09,SPRB,Spruce Biosciences,15,19.42,0.2947
2020-10-09,STTK,Shattuck Labs,17,37.77,1.2218
2020-10-09,KRON,Kronos Bio,19,28.34,0.4916
2020-10-09,LCY,Landcadia Holdings III,10,10.55,0.055
2020-10-09,IH,iHuman,12,15.1,0.2583
2020-10-08,PAIC,Petra Acquisition,10,9.97,-0.003
2020-10-08,FUBO,FuboTV,10,32.05,2.205
2020-10-08,AZYO,Aziyo Biologics,17,13.92,-0.1812
2020-10-07,NGAC,NextGen Acquisition,10,10.42,0.042
2020-10-07,MAAC,Montes Archimedes Acquisition,10,9.85,-0.015
2020-10-07,EMPW,Empower,10,10.1,0.01
2020-10-07,SQFT,Presidio Property Trust,5,3.71,-0.258
2020-10-07,PACE,TPG Pace Tech Opportunities,10,10.25,0.025
2020-10-07,TPGY,TPG Pace Beneficial Finance,10,19.54,0.954
2020-10-06,FMAC,FirstMark Horizon Acquisition,10,10.47,0.047
2020-10-02,APSG,Apollo Strategic Growth Capital,10,10.12,0.012
2020-10-02,IMNM,Immunome,12,30.29,1.5242
2020-10-02,AVAN,Avanti Acquisition,10,10,0
2020-10-02,ASAQ,Atlantic Street Acquisition,10,9.86,-0.014
2020-10-02,IACA,ION Acquisition Corp 1,10,10.84,0.084
2020-10-02,SEAH,Sports Entertainment Acquisition,10,9.99,-0.001
2020-10-02,ASO,Academy Sports and Outdoors,13,25.16,0.9354
2020-10-02,ONCR,Oncorus,15,16.38,0.092
2020-10-02,CCCC,C4 Therapeutics,19,43.73,1.3016
2020-10-02,VGAC,VG Acquisition,10,10.5,0.05
2020-10-02,VYGG,Vy Global Growth,10,10.59,0.059
2020-10-01,IMPX,AEA-Bridges Impact Corp,10,9.91,-0.009
2020-10-01,LXEH,Lixiang Education,9.25,9,-0.027
2020-10-01,THRY,Thryv Holdings,10.17,19,0.8682
2020-10-01,AGC,Altimeter Growth Corp.,10,12.85,0.285
2020-10-01,AVO,Mission Produce,12,20.51,0.7092
2020-10-01,IGAC,IG Acquisition,10,9.95,-0.005
2020-10-01,LUNG,Pulmonx,19,59.85,2.15
2020-10-01,RCHG,Recharge Acquisition,10,9.93,-0.007
2020-09-30,BQ,Boqii Holding,10,6.09,-0.391
2020-09-30,VSPR,Vesper Healthcare Acquisition,10,11.22,0.122
2020-09-30,PLTR,Palantir,7.25,25.21,2.4772
2020-09-30,QELL,Qell Acquisition,10,10.4,0.04
2020-09-30,CD,Chindata Group,13.5,18.85,0.3963
2020-09-30,ASAN,Asana,21,33.03,0.5729
2020-09-30,YALA,Yalla Group,7.5,28.2,2.76
2020-09-30,CLII,Climate Change Crisis Real Impact I,10,12.68,0.268
2020-09-30,FGNA,FG New America Acquisition,10,10.15,0.015
2020-09-29,ORPH,Orphazyme,11,12.7,0.1545
2020-09-25,AMST,Amesite,5,5.26,0.052
2020-09-25,FTIV,FinTech Acquisition IV,10,11.14,0.114
2020-09-25,VACQ,Vector Acquisition,10,11.99,0.199
2020-09-25,SYTA,Siyata Mobile,7.25,9.22,0.2717
2020-09-25,PRLD,Prelude Therapeutics,19,56.32,1.9642
2020-09-25,GLSI,Greenwich LifeSciences,5.75,29.4,4.113
2020-09-25,PMVP,PMV Pharmaceuticals,18,39.95,1.2194
2020-09-25,GRAY,Graybug Vision,16,7.82,-0.5113
