SYMBOL,IPO_DATE,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN,THREE_MTH_DATE,THREE_MTH_IPO,PRICE_CHANGE,THREE_MTH_RETURN,PRICE_GAIN_LOSS,
ALGM,2020-10-29,Allegro MicroSystems,14,26.92,0.9229,2021-01-29,27.92,13.92,0.994285714,Gain,
LESL,2020-10-29,Leslie's,17,23.05,0.3559,2021-01-29,28.6,11.6,0.682352941,Gain,
GLTO,2020-10-29,Galecto,15,8,-0.4667,2021-01-29,12.39,-2.61,-0.174,Loss,
DSAC,2020-10-29,Duddell Street Acquisition,10,9.95,-0.005,2021-01-29,10.08,0.08,0.008,Gain,
ROOT,2020-10-28,"Root, Inc.",27,11.29,-0.5819,2021-01-28,20.53,-6.47,-0.23962963,Loss,
GATO,2020-10-28,Gatos Silver,7,15.63,1.2329,2021-01-28,13.06,6.06,0.865714286,Gain,
BOAC,2020-10-28,Bluescape Opportunities Acquisition,10,9.98,-0.002,2021-01-28,10.65,0.65,0.065,Gain,
ACIC,2020-10-28,Atlas Crest Investment,10,10.44,0.044,2021-01-28,10.44,0.44,0.044,Gain,
AJAX,2020-10-28,Ajax I,10,10.45,0.045,2021-01-28,11.66,1.66,0.166,Gain,
BDSX,2020-10-28,Biodesix,18,23.73,0.3183,2021-01-28,24.75,6.75,0.375,Gain,
ABST,2020-10-28,Absolute Software,11,15.05,0.3682,2021-01-28,12.94,1.94,0.176363636,Gain,
MAX,2020-10-28,MediaAlpha,19,55.79,1.9363,2021-01-28,52.6,33.6,1.768421053,Gain,
MACU,2020-10-27,Mallard Acquisition,10,9.89,-0.011,2021-01-27,10.12,0.12,0.012,Gain,
LUXA,2020-10-27,Lux Health Tech Acquisition,10,10.49,0.049,2021-01-27,10.96,0.96,0.096,Gain,
MCFE,2020-10-22,McAfee,20,23.93,0.1965,2021-01-22,19.19,-0.81,-0.0405,Loss,
TEKK,2020-10-22,Tekkorp Digital Acquisition,10,10.08,0.008,2021-01-22,10.5,0.5,0.05,Gain,
ABCM,2020-10-22,Abcam PLC,17.5,21.24,0.2137,2021-01-22,23.59,6.09,0.348,Gain,
GHLD,2020-10-22,Guild Holdings Company,15,14.75,-0.0167,2021-01-22,16.1,1.1,0.073333333,Gain,
YSAC,2020-10-22,Yellowstone Acquisition,10,10.01,0.001,2021-01-22,10.33,0.33,0.033,Gain,
RICE,2020-10-22,Rice Acquisition,10,10.28,0.028,2021-01-22,12.32,2.32,0.232,Gain,
CTAC,2020-10-22,Cerberus Telecom Acquisition,10,9.99,-0.001,2021-01-22,10.45,0.45,0.045,Gain,
BLSA,2020-10-22,BCLS Acquisition,10,10.85,0.085,2021-01-22,10.86,0.86,0.086,Gain,
HIGA,2020-10-21,H.I.G. Acquisition,10,10.03,0.003,2021-01-21,10.34,0.34,0.034,Gain,
SRSA,2020-10-21,Sarissa Capital Acquisition,10,10.16,0.016,2021-01-21,10.38,0.38,0.038,Gain,
MSP,2020-10-21,Datto,27,26.72,-0.0104,2021-01-21,26.45,-0.55,-0.02037037,Loss,
SPNV,2020-10-21,Supernova Partners Acquisition,10,10.67,0.067,2021-01-21,11.33,1.33,0.133,Gain,
XPOA,2020-10-21,DPCM Capital,10,10.1,0.01,2021-01-21,10.84,0.84,0.084,Gain,
YGMZ,2020-10-21,MingZhu Logistics,4,5.77,0.4425,2021-01-21,12.77,8.77,2.1925,Gain,
LFTR,2020-10-21,Lefteris Acquisition,10,10.08,0.008,2021-01-21,10.91,0.91,0.091,Gain,
DCRB,2020-10-20,Decarbonization Plus Acquisition,10,11.16,0.116,2021-01-20,12.26,2.26,0.226,Gain,
GWAC,2020-10-20,Good Works Acquisition,10,11.24,0.124,2021-01-20,10.24,0.24,0.024,Gain,
HLXA,2020-10-20,Helix Acquisition,10,10.51,0.051,2021-01-20,11,1,0.1,Gain,
HZON,2020-10-20,Horizon Acquisition II,10,10.84,0.084,2021-01-20,10.58,0.58,0.058,Gain,
TMTS,2020-10-15,Spartacus Acquisition,10,9.91,-0.009,2021-01-15,10.29,0.29,0.029,Gain,
EBC,2020-10-15,Eastern Bankshares,10,19.34,0.934,2021-01-15,16.39,6.39,0.639,Gain,
ARRY,2020-10-15,Array Technologies,22,31.61,0.4368,2021-01-15,45.93,23.93,1.087727273,Gain,
MNSO,2020-10-15,Miniso Group,20,24,0.2,2021-01-15,28.59,8.59,0.4295,Gain,
MOTN,2020-10-15,Motion Acquisition,10,9.92,-0.008,2021-01-15,10.5,0.5,0.05,Gain,
FVAM,2020-10-14,5:01 Acquisition,10,10.1,0.01,2021-01-14,10.56,0.56,0.056,Gain,
CDAK,2020-10-14, Codiak BioSciences,15,18.06,0.204,2021-01-14,29.73,14.73,0.982,Gain,
PAIC,2020-10-08,Petra Acquisition,10,9.97,-0.003,2021-01-08,10.25,0.25,0.025,Gain,
FUBO,2020-10-08,FuboTV,10,32.05,2.205,2021-01-08,27.31,17.31,1.731,Gain,
AZYO,2020-10-08,Aziyo Biologics,17,13.92,-0.1812,2021-01-08,14.05,-2.95,-0.173529412,Loss,
NGAC,2020-10-07,NextGen Acquisition,10,10.42,0.042,2021-01-07,10.18,0.18,0.018,Gain,
MAAC,2020-10-07,Montes Archimedes Acquisition,10,9.85,-0.015,2021-01-07,10.05,0.05,0.005,Gain,
EMPW,2020-10-07,Empower,10,10.1,0.01,2021-01-07,10.11,0.11,0.011,Gain,
SQFT,2020-10-07,Presidio Property Trust,5,3.71,-0.258,2021-01-07,3.76,-1.24,-0.248,Loss,
PACE,2020-10-07,TPG Pace Tech Opportunities,10,10.25,0.025,2021-01-07,11.34,1.34,0.134,Gain,
TPGY,2020-10-07,TPG Pace Beneficial Finance,10,19.54,0.954,2021-01-07,26.58,16.58,1.658,Gain,
FMAC,2020-10-06,FirstMark Horizon Acquisition,10,10.47,0.047,2021-01-06,10.75,0.75,0.075,Gain,
BQ,2020-09-30,Boqii Holding,10,6.09,-0.391,2020-12-30,5.08,-4.92,-0.492,Loss,
VSPR,2020-09-30,Vesper Healthcare Acquisition,10,11.22,0.122,2020-12-30,11.36,1.36,0.136,Gain,
PLTR,2020-09-30,Palantir,7.25,25.21,2.4772,2020-12-30,25.1,17.85,2.462068966,Gain,
QELL,2020-09-30,Qell Acquisition,10,10.4,0.04,2020-12-30,12.42,2.42,0.242,Gain,
CD,2020-09-30,Chindata Group,13.5,18.85,0.3963,2020-12-30,20.3,6.8,0.503703704,Gain,
ASAN,2020-09-30,Asana,21,33.03,0.5729,2020-12-30,29.12,8.12,0.386666667,Gain,
YALA,2020-09-30,Yalla Group,7.5,28.2,2.76,2020-12-30,15.25,7.75,1.033333333,Gain,
CLII,2020-09-30,Climate Change Crisis Real Impact I,10,12.68,0.268,2020-12-30,10.74,0.74,0.074,Gain,
FGNA,2020-09-30,FG New America Acquisition,10,10.15,0.015,2020-12-30,10.19,0.19,0.019,Gain,
ORPH,2020-09-29,Orphazyme,11,12.7,0.1545,2020-12-29,11.22,0.22,0.02,Gain,
TSHA,2020-09-24,Taysha Gene Therapies,20,24.67,0.2335,2020-12-24,27.2,7.2,0.36,Gain,
PDAC,2020-09-24,Peridot Acquisition,10,10.76,0.076,2020-12-24,10.25,0.25,0.025,Gain,
ACTC,2020-09-23,ArcLight Clean Transition,10,18.25,0.825,2020-12-23,11,1,0.1,Gain,
CRSR,2020-09-23,Corsair Gaming,17,34.25,1.0147,2020-12-23,38.83,21.83,1.284117647,Gain,
VIH,2020-09-23,VPC Impact Acquisition,10,15.07,0.507,2020-12-23,10.2111,0.2111,0.02111,Gain,
GDRX,2020-09-23,GoodRx Holdings,33,37.42,0.1339,2020-12-23,47.59,14.59,0.442121212,Gain,
LSF,2020-09-23,Laird Superfood,22,36.37,0.6532,2020-12-23,55.79,33.79,1.535909091,Gain,
ASPL,2020-09-23,Aspirational Consumer Lifestyle Corp.,10,10.37,0.037,2020-12-23,9.99,-0.01,-0.001,Loss,
BSY,2020-09-23,Bentley Systems,22,43.86,0.9936,2020-12-23,39.48,17.48,0.794545455,Gain,
FCAC,2020-09-22,Falcon Capital Acquisition,10,10.21,0.021,2020-12-22,10.5,0.5,0.05,Gain,
PMVC,2020-09-22,PMV Consumer Acquisition,10,9.88,-0.012,2020-12-22,10.03,0.03,0.003,Gain,
CMPS,2020-09-18,COMPASS Pathways,17,42.76,1.5153,2020-12-18,56.99,39.99,2.352352941,Gain,
AHAC,2020-09-18,Alpha Healthcare Acquisition,10,10.88,0.088,2020-12-18,9.95,-0.05,-0.005,Loss,
U,2020-09-18,Unity Software,52,108.98,1.0958,2020-12-18,157.77,105.77,2.034038462,Gain,
VTRU,2020-09-18,Vitru,16,14.7,-0.0813,2020-12-18,14.73,-1.27,-0.079375,Loss,
ATHA,2020-09-18,Athira Pharma,17,20.66,0.2153,2020-12-18,30.94,13.94,0.82,Gain,
NMMC,2020-09-18,North Mountain Merger,10,10.15,0.015,2020-12-18,10.5,0.5,0.05,Gain,
STWO,2020-09-17,ACON S2 Acquisition,10,9.98,-0.002,2020-12-17,10.3,0.3,0.03,Gain,
DYN,2020-09-17,Dyne Therapeutics,19,16.57,-0.1279,2020-12-17,20.24,1.24,0.065263158,Gain,
AMWL,2020-09-17,Amwell,18,21.04,0.1689,2020-12-17,28.34,10.34,0.574444444,Gain,
SUMO,2020-09-17,Sumo Logic,22,21,-0.0455,2020-12-17,29.39,7.39,0.335909091,Gain,
OACB,2020-09-17,Oaktree Acquisition II,10,10.24,0.024,2020-12-17,10.35,0.35,0.035,Gain,
PTVE,2020-09-17,Pactiv Evergreen,14,16.82,0.2014,2020-12-17,17.46,3.46,0.247142857,Gain,
RTP,2020-09-17,Reinvent Technology Partners,10,10.93,0.093,2020-12-17,11.12,1.12,0.112,Gain,
BNL,2020-09-17,Broadstone Net Lease,17,18.35,0.0794,2020-12-17,19.77,2.77,0.162941176,Gain,
EQD,2020-09-16,Equity Distribution Acquisition,10,10.03,0.003,2020-12-16,10.24,0.24,0.024,Gain,
STEP,2020-09-16,StepStone Group,18,30.96,0.72,2020-12-16,32.22,14.22,0.79,Gain,
SNOW,2020-09-16,Snowflake,120,230.3,0.9192,2020-12-16,329.97,209.97,1.74975,Gain,
ENPC,2020-09-16,Executive Network Partnering,25,24.4,-0.024,2020-12-16,24.745,-0.255,-0.0102,Loss,
MTCR,2020-09-16,Metacrine,13,8.04,-0.3815,2020-12-16,9.81,-3.19,-0.245384615,Loss,
FROG,2020-09-16,JFrog,44,47.55,0.0807,2020-12-16,63.2,19.2,0.436363636,Gain,
SBG,2020-09-15,Sandbridge Acquisition,10,9.97,-0.003,2020-12-15,9.89,-0.11,-0.011,Loss,
OM,2020-09-15,Outset Medical,27,48.78,0.8067,2020-12-15,51.99,24.99,0.925555556,Gain,
SAII,2020-09-15,Software Acquisition Group II,10,10.68,0.068,2020-12-15,9.91,-0.09,-0.009,Loss,
SNPR,2020-09-11,Tortoise Acquisition II,10,10.91,0.091,2020-12-11,11,1,0.1,Gain,
TWCT,2020-09-11,TWC Tech Holdings II,10,10,0,2020-12-11,10.33,0.33,0.033,Gain,
LEAP,2020-09-11,Ribbit LEAP,10,12.74,0.274,2020-12-11,13.33,3.33,0.333,Gain,
LSPD,2020-09-11,Lightspeed POS,30.5,68.72,1.2531,2020-12-11,59.07,28.57,0.936721311,Gain,
BSN,2020-09-11,Broadstone Acquisition,10,9.89,-0.011,2020-12-11,9.89,-0.11,-0.011,Loss,
SVAC,2020-09-10,Starboard Value Acquisition,10,10.1,0.01,2020-12-10,10.08,0.08,0.008,Gain,
PIAI,2020-09-10,Prime Impact Acquisition I,10,9.96,-0.004,2020-12-10,9.9,-0.1,-0.01,Loss,
NSH,2020-09-10,NavSight Holdings,10,10.3,0.03,2020-12-10,9.87,-0.13,-0.013,Loss,
CRHC,2020-09-09,Cohn Robbins Holdings,10,10.24,0.024,2020-12-09,10.01,0.01,0.001,Gain,
ITAC,2020-09-09,Industrial Tech Acquisitions,10,9.98,-0.002,2020-12-09,9.99,-0.01,-0.001,Loss,
TWND,2020-09-04,Tailwind Acquisition,10,10.2,0.02,2020-12-04,9.91,-0.09,-0.009,Loss,
CAPA,2020-09-04,HighCape Capital Acquisition,10,13.08,0.308,2020-12-04,11.5,1.5,0.15,Gain,
INAQ,2020-09-03,INSU Acquisition II,10,18,0.8,2020-12-03,12.35,2.35,0.235,Gain,
BCTG,2020-09-03,BCTG Acquisition,10,11.15,0.115,2020-12-03,10.973,0.973,0.0973,Gain,
CMLF,2020-09-02,CM Life Sciences,10,16.65,0.665,2020-12-02,10.6662,0.6662,0.06662,Gain,
PRFX,2020-09-01,PainReform,8,5.67,-0.2913,2020-12-01,4.58,-3.42,-0.4275,Loss,
AUVI,2020-08-31,Applied UV,5,9.29,0.858,2020-11-30,5.18,0.18,0.036,Gain,
XPEV,2020-08-27,XPeng,15,36.12,1.408,2020-11-27,64.28,49.28,3.285333333,Gain,
BTAQ,2020-08-27,Burgundy Technology Acquisition,10,10.06,0.006,2020-11-27,9.85,-0.15,-0.015,Loss,
CFII,2020-08-27,CF Finance Acquisition II,10,9.19,-0.081,2020-11-27,10.01,0.01,0.001,Gain,
HRMY,2020-08-19,Harmony Biosciences,24,30.77,0.2821,2020-11-19,42.53,18.53,0.772083333,Gain,
INBX,2020-08-19,Inhibrx,17,23.55,0.3853,2020-11-19,23.64,6.64,0.390588235,Gain,
BFT,2020-08-19,Foley Trasimene Acquisition II,10,16,0.6,2020-11-19,10.37,0.37,0.037,Gain,
STPK,2020-08-18,Star Peak Energy Transition,10,31.99,2.199,2020-11-18,9.74,-0.26,-0.026,Loss,
FIII,2020-08-18,Forum Merger III,10,10.26,0.026,2020-11-18,9.8,-0.2,-0.02,Loss,
AONE,2020-08-18,One,10,12.35,0.235,2020-11-18,10.18,0.18,0.018,Gain,
NGA,2020-08-18,Northern Genesis Acquisition,10,19.08,0.908,2020-11-18,10.3,0.3,0.03,Gain,
NTST,2020-08-13,NetSTREIT,18,18.47,0.0261,2020-11-13,18.3,0.3,0.016666667,Gain,
BEKE,2020-08-13,KE Holdings,20,67,2.35,2020-11-13,72.53,52.53,2.6265,Gain,
RBAC,2020-08-13,Redball Acquisition,10,10.2,0.02,2020-11-13,10.22,0.22,0.022,Gain,
FAII,2020-08-12,Fortress Value Acquisition II,10,10.04,0.004,2020-11-12,9.91,-0.09,-0.009,Loss,
KBNT,2020-08-12,Kubient,5,7.9,0.58,2020-11-12,2.96,-2.04,-0.408,Loss,
FSDC,2020-08-12,FS Development,10,12.66,0.266,2020-11-12,10.025,0.025,0.0025,Gain,
KSMT,2020-08-06,Kismet Acquisition One,10,9.9,-0.01,2020-11-06,9.74,-0.26,-0.026,Loss,
GRSV,2020-08-06,Gores Holdings V,10,10.07,0.007,2020-11-06,9.8,-0.2,-0.02,Loss,
AFIB,2020-08-06,Acutus Medical,18,19.06,0.0589,2020-11-06,23.03,5.03,0.279444444,Gain,
RKT,2020-08-06,Rocket Companies,18,24.5,0.3611,2020-11-06,21.31,3.31,0.183888889,Gain,
OSH,2020-08-06,Oak Street Health,21,57.35,1.731,2020-11-06,52.04,31.04,1.478095238,Gain,
RXT,2020-08-05,Rackspace Technology,21,23.64,0.1257,2020-11-05,17.08,-3.92,-0.186666667,Loss,
BOWX,2020-08-05,BowX Acquisition,10,9.95,-0.005,2020-11-05,9.8,-0.2,-0.02,Loss,
BIGC,2020-08-05,BigCommerce,24,55.71,1.3213,2020-11-05,85.34,61.34,2.555833333,Gain,
HOL,2020-08-05,Holicity,10,13.1,0.31,2020-11-05,9.75,-0.25,-0.025,Loss,
GOAC,2020-08-05,GO Acquisition,10,10,0,2020-11-05,9.7,-0.3,-0.03,Loss,
YAC,2020-08-04,Yucaipa Acquisition,10,9.96,-0.004,2020-11-04,9.65,-0.35,-0.035,Loss,
HSAQ,2020-08-04,Health Sciences Acquisitions 2,10,10.98,0.098,2020-11-04,10.61,0.61,0.061,Gain,
CCIV,2020-07-30,Churchill Capital Corp. IV,10,29.5,1.95,2020-10-30,9.63,-0.37,-0.037,Loss,
LI,2020-07-30,Li Auto,11.5,25.43,1.2113,2020-10-30,20.17,8.67,0.753913043,Gain,
